product_name,product_price,product_ratings
"Fastrack reflex 2.0 Uni-sex activity tracker - Calorie counter, Call and message notifications and up to 10 Day battery Life","1,195","3,177"
"Fashion Digital Men's & Boy's Watch (Black Dial, Green Colored Strap)",430,"1,209"
Connected X Hybrid Smartwatch for Men with Heart Rate Monitor + Full touch Display + Interchangeable strap,"9,995",252
Youth Series Digital Grey Dial Men's Watch - AE-1200WH-1AVDF(D097),"2,155","1,123"
Youth Series Digital Black Dial Men's Watch - AE-1200WH-1BVDF(D098),"2,085",606
G-Shock Analog-Digital Black Dial Men's Watch GA-140-1A4DR(G976),"6,565",146
Digital Kids Sports Watch with 7 Color Backlight Alarm Stopwatch for Boys and Girls,598,20
G-Shock Digital Black Dial Men's Watch - GD-100-1BDR(G310),"5,845",212
G-Shock Mudmaster Analog-Digital Black Dial Men's Watch GG-B100-1A3DR(G973),"22,495",28
G-Shock Analog-Digital Black Dial Men's Watch - GA-700-7ADR (G742),"8,365",193
G-Shock Analog-Digital Blue Dial Men's Watch - GA-100-1A2DR (G271),"6,396","2,042"
G-Shock Digital Grey Dial Men's Watch - DW-5600E-1VQ (G001),"3,955",188
G-Shock Digital Black Dial Men's Watch - GD-350-1BDR (G441),"6,295",401
Analog-Digital Boy's Watch (Black Dial),699,63
Vintage Series Digital Grey Dial Unisex Watch - DB-36-1AVDF(DB23),"1,756",228
Chronograph Men's Watch ( Black Dial & Strap ),"1,775",182
G-Shock Analog-Digital Black Dial Men's Watch - GA-120-1ADR (G346),"7,915",551
G-Shock Analog-Digital Black Dial Men's Watch - GA-100-1A1DR (G270),"6,395",390
G-Shock Analog-Digital Black Dial Men's Watch - GSG-100-1ADR (G830),"11,996",141
Men's Watch (Multi Colored Strap),599,937
"Analog-Digital Men's Watch (Black Dial, Green Colored Strap)",941,655
Protrek Triple Sensor Digital Grey Dial Men's Watch PRG-270-1ADR(SL72),"12,595",72
Pit Crew Analog Blue Dial Men's Watch-0830779,"3,995",16
Core Watch,"16,499","10,252"
Protrek Triple Sensor Digital Grey Dial Men's Watch PRG-240T-7DR(SL49),"16,795",48
Analogue Men's Watch (Blue Dial),"17,323",118
"Mens Watches,CURREN Watches Quartz Analog Calendar Wrist Watch for Men, Fashion Waterproof Watch with Leather Strap","2,150",379
Digital Men's Watch (Black Dial Green Colored Strap),378,208
G-Shock Analog-Digital Black Dial Men's Watch - GA-100A-9ADR (G273),"6,396",58
Protrek Triple Sensor Analog-Digital Black Dial Men's Watch PRG-600-1DR(SL92),"15,996",28
G-Shock Digital White Dial Men's Watch - G-9000-1VDR (G201),"5,935",287
Analogue Men's Watch (Silver Colored Strap),"17,300",75
Sport chronograph Time Blue Dial Men's Watch NM38016PP01 / NL38016PP01,"2,680",98
Octane Active Analog White Dial Men's Watch NM90104KM03/NN90104KM03,"6,395",13
G-Shock G-Steel Analog-Digital Black Dial Men's Watch - GST-B200-1ADR(G955),"19,996",10
Sport analog-digital Silver Dial Men's Watch NM38016PL02/NN38016PL02,"2,875",249
Military Green Army Digital Sport Black Dial Sports Men's and Boy's Watch,280,1
Sf Basics Analog Black Dial Men's Watch-0830814,"5,945",2
Digital Men's Watch (Multicolored Dial Multi Colored Strap),430,235
Pista Analog Black Dial Men's Watch-0830725,"5,895",17
Digital White dial Green Sports Watch for Men's and Boy's,302,3
Digital Multicolour Dial Boys' & Girls' Watch (Pack of 4),755,2
Men's & Boy's Watch (Red & Blue Colored Strap) (Pack of 2),528,8
Analogue Men's Watch (Blue Dial),"2,046",33
Pista Analog Black Dial Men's Watch-0830732,"15,960",4
"Sports Chronograph Men's Watch (Black Dial, Black Strap)","14,131",1
Pista Analog Grey Dial Men's Watch-0830760,"12,760",3
TITAN OCTANE Chronograph White Dial Men's Watch NM90079KM03/NN90079KM03,"6,955",8
"Sports Chronograph Men's Watch (Black Dial, Black Strap)","21,180",1
Digital unisex Watch (Multicolored Dial White Colored Strap),449,7
"Combo of 2 Digital Multicolour Black dial Sport's Men's and Boy's Watch (Red, White)",528,1
